ID_A,ID_B,Level,label
565,838,Moderate,1
565,839,Moderate,1
565,865,Minor,2
565,866,Minor,2
565,871,Minor,2
565,872,Minor,2
565,877,Moderate,1
565,884,Minor,2
888,565,Minor,2
889,565,Moderate,1
565,905,Moderate,1
1058,565,Moderate,1
912,565,Moderate,1
565,921,Moderate,1
565,885,Minor,2
946,565,Minor,2
565,957,Moderate,1
958,565,Moderate,1
968,565,Moderate,1
983,565,Moderate,1
999,565,Moderate,1
1005,565,Minor,2
565,1008,Major,0
1016,565,Minor,2
565,1019,Moderate,1
1020,565,Moderate,1
565,1037,Moderate,1
1040,565,Moderate,1
565,1045,Moderate,1
1046,565,Moderate,1
565,1048,Moderate,1
565,1050,Moderate,1
1056,565,Moderate,1
565,1063,Moderate,1
565,1064,Moderate,1
565,1069,Minor,2
565,1073,Moderate,1
565,1085,Major,0
565,1089,Moderate,1
1090,565,Moderate,1
565,1093,Moderate,1
565,1102,Moderate,1
565,1103,Major,0
1105,565,Moderate,1
1110,565,Moderate,1
1121,565,Moderate,1
565,1122,Moderate,1
1145,565,Moderate,1
565,1152,Moderate,1
565,1154,Moderate,1
565,1160,Moderate,1
1162,565,Minor,2
565,1164,Moderate,1
565,1171,Minor,2
565,1172,Moderate,1
565,1185,Minor,2
565,1197,Moderate,1
565,1199,Minor,2
565,1200,Moderate,1
565,1201,Moderate,1
1204,565,Moderate,1
1209,565,Moderate,1
565,1210,Moderate,1
565,1211,Moderate,1
1215,565,Moderate,1
412,565,Moderate,1
1219,565,Moderate,1
565,1228,Moderate,1
1231,565,Moderate,1
1232,565,Moderate,1
565,1237,Minor,2
565,1238,Moderate,1
1242,565,Moderate,1
565,1257,Moderate,1
565,1263,Major,0
1272,565,Moderate,1
1273,565,Moderate,1
565,1276,Moderate,1
565,1282,Moderate,1
565,1288,Moderate,1
565,1296,Moderate,1
565,1300,Moderate,1
565,1311,Major,0
565,1314,Moderate,1
565,1316,Moderate,1
565,1326,Major,0
565,1331,Minor,2
565,1343,Moderate,1
565,1345,Minor,2
1346,565,Moderate,1
1348,565,Moderate,1
565,1349,Moderate,1
565,1366,Minor,2
1370,565,Minor,2
565,1372,Moderate,1
1375,565,Moderate,1
1376,565,Moderate,1
1381,565,Moderate,1
565,1390,Moderate,1
565,1392,Moderate,1
1401,565,Moderate,1
1402,565,Moderate,1
565,1408,Moderate,1
565,1419,Moderate,1
1421,565,Moderate,1
1425,565,Moderate,1
1443,565,Major,0
1447,565,Moderate,1
565,1449,Moderate,1
1451,565,Minor,2
1457,565,Moderate,1
1464,565,Moderate,1
1472,565,Minor,2
565,1475,Moderate,1
1478,565,Moderate,1
1479,565,Moderate,1
565,29,Moderate,1
1488,565,Moderate,1
565,1492,Moderate,1
565,1512,Moderate,1
565,1519,Moderate,1
1520,565,Moderate,1
1522,565,Moderate,1
565,1525,Moderate,1
1527,565,Moderate,1
565,1538,Minor,2
1542,565,Moderate,1
1560,565,Moderate,1
10,1240,Moderate,1
26,1240,Minor,2
1240,40,Minor,2
1240,56,Moderate,1
1240,97,Major,0
1240,110,Minor,2
1240,120,Moderate,1
1240,171,Moderate,1
1240,176,Moderate,1
1240,208,Minor,2
1240,244,Moderate,1
1240,254,Moderate,1
1240,263,Moderate,1
1240,267,Moderate,1
287,1240,Moderate,1
304,1240,Minor,2
305,1240,Minor,2
347,1240,Minor,2
354,1240,Minor,2
1240,358,Moderate,1
1240,361,Moderate,1
1240,375,Major,0
386,1240,Moderate,1
420,1240,Minor,2
425,1240,Moderate,1
1240,427,Minor,2
460,1240,Moderate,1
1240,466,Minor,2
482,1240,Minor,2
1240,497,Moderate,1
507,1240,Minor,2
509,1240,Moderate,1
527,1240,Moderate,1
555,1240,Minor,2
1240,559,Minor,2
574,1240,Minor,2
1240,585,Moderate,1
1240,588,Moderate,1
1240,618,Moderate,1
1240,624,Moderate,1
641,1240,Moderate,1
647,1240,Moderate,1
656,1240,Moderate,1
1240,657,Moderate,1
1240,660,Moderate,1
1240,704,Minor,2
723,1240,Minor,2
1240,763,Moderate,1
1240,764,Moderate,1
1240,774,Moderate,1
1240,775,Minor,2
776,1240,Minor,2
1240,788,Moderate,1
1240,790,Moderate,1
1240,794,Major,0
1240,840,Moderate,1
843,1240,Major,0
1240,865,Minor,2
1240,866,Minor,2
1240,871,Minor,2
1240,872,Minor,2
1240,884,Minor,2
888,1240,Minor,2
1240,894,Minor,2
910,1240,Moderate,1
1240,885,Minor,2
1240,943,Minor,2
955,1240,Moderate,1
956,1240,Minor,2
959,1240,Minor,2
1240,973,Minor,2
987,1240,Minor,2
999,1240,Moderate,1
1005,1240,Minor,2
1240,1008,Major,0
1016,1240,Minor,2
1240,1017,Minor,2
1240,1019,Moderate,1
1240,1069,Minor,2
1240,1073,Moderate,1
1240,1085,Moderate,1
1240,1092,Minor,2
1240,1103,Major,0
1105,1240,Moderate,1
1240,1122,Moderate,1
1145,1240,Moderate,1
1240,1147,Moderate,1
1240,1157,Minor,2
1162,1240,Minor,2
1240,1171,Minor,2
1240,1172,Moderate,1
1183,1240,Minor,2
1240,1185,Minor,2
1240,1201,Moderate,1
1240,1231,Moderate,1
1240,1237,Minor,2
1240,1243,Minor,2
1240,1263,Major,0
1272,1240,Minor,2
1240,1276,Moderate,1
1278,1240,Minor,2
1240,1311,Major,0
1240,1326,Major,0
1240,1331,Minor,2
1240,1345,Minor,2
1358,1240,Minor,2
1370,1240,Minor,2
1375,1240,Moderate,1
1240,1419,Moderate,1
1421,1240,Moderate,1
1447,1240,Moderate,1
1240,1449,Moderate,1
1451,1240,Minor,2
1472,1240,Minor,2
1240,1473,Moderate,1
1497,1240,Moderate,1
1240,1500,Minor,2
1240,1519,Minor,2
1240,1523,Minor,2
1240,1538,Minor,2
1547,1240,Moderate,1
48,1234,Moderate,1
49,1234,Moderate,1
66,1234,Moderate,1
67,1234,Moderate,1
68,1234,Moderate,1
69,1234,Moderate,1
70,1234,Moderate,1
78,1234,Moderate,1
1234,79,Moderate,1
84,1234,Moderate,1
1234,89,Moderate,1
14,1234,Minor,2
97,1234,Major,0
1234,110,Minor,2
1234,120,Moderate,1
134,1234,Moderate,1
142,1234,Moderate,1
1234,171,Moderate,1
